tools/api_rate.py	STILL-NEEDED	measure a drafting provider's true request rate and rate-limit attribution	tools/api_rate.py:2 "read .run/api_rate.jsonl and report MEASURED request rate + 429 attribution"
tools/audit_header_sigs.py	SUPERSEDED	tools/conform_decls.py	conform_decls conforms every fleet declaration to the byte-true definition instead of only reporting the contradiction — tools/conform_decls.py:2
tools/bank_exemplar.py	SUPERSEDED	tools/gate_stage.py	gate_stage is "the single entrypoint the worker Workflow AND the grinder daemon both call", running the same recovery/gate/log ladder for any producer — tools/gate_stage.py:4
tools/bisect_slate.py	SUPERSEDED	tools/gate_main_parallel.py	gate_main_parallel discovers the bankable drafts concurrently in worktrees instead of bisecting a failing slate one rebuild at a time — tools/gate_main_parallel.py:2
tools/build_wave.py	SUPERSEDED	tools/draw_waves.py	draw_waves draws N waves off the open frontier cheapest-first with size, binary and exclude-list filters; it is the playbook's draw step — tools/draw_waves.py:2
tools/build_wave_args.py	SUPERSEDED	tools/wave_args.py	wave_args emits the exact workflow args and ASSERTS each target's real asm subdir and open state instead of globbing for it — tools/wave_args.py:2
tools/bulk_harvest.py	STILL-NEEDED	mass-draft small stubs with a served model and byte-gate them in parallel	SETUP row: "(Phase 23 / T10) The phase-separated + parallel-gate harvester (throughput rebuild of lora_grind)"
tools/burndown.py	STILL-NEEDED	see when per-session yield floors out so a diminishing-returns close is defensible	tools/burndown.py:4 "the milestone is NOT a checkbox count — it is close when per-session yield floors out"
tools/campaign_status.py	STILL-NEEDED	report every concurrent lane with its own metrics, not only the loud one	tools/campaign_status.py:2 "ONE status view covering EVERY lane, not just the loud one"
tools/canon_draft_decls.py	SUPERSEDED	tools/sig_unify.py	sig_unify "extends canon_draft_decls" to the draft's OWN definition signature, not only its callee externs — tools/sig_unify.py:5
tools/cdtrace.py	STILL-NEEDED	observe a live loader's requests to learn which payload is read to which address	tools/cdtrace.py:2 "observe CD loads live, from the RAM dump API alone"
tools/decompile.py	STILL-NEEDED	turn one function's disassembly into a C scaffold to start a match	tools/decompile.py:2 "m2c scaffold helper for the matching loop"
tools/decompme_replica.sh	ONE-OFF	the verified public decomp.me toolchain preset and its byte-equivalence measurement (docs/decompme-preset.md)	tools/decompme_replica.sh:6 "a preset cannot be deleted by its owner … so a preset must be right before it is saved"
tools/diff_autopsy.sh	STILL-NEEDED	find WHICH words diverge when the whole-binary gate says DIFF but not where	SETUP row: "The gate said DIFF, this says WHERE: splices the raw draft into the real TU exactly as the gate does"
tools/diff_regions.py	STILL-NEEDED	classify where a mechanically remapped sibling's compiled bytes diverge from its target	tools/diff_regions.py:2 "classify WHERE a family-remapped member's compiled bytes diverge from its target"
tools/eval_lora.py	STILL-NEEDED	evaluate a fine-tuned matching model gate-truthfully on held-out banked functions	tools/eval_lora.py:2 "gate-true eval of a fine-tuned model on HELD-OUT banked functions"
tools/exemplar_miner.py	SUPERSEDED	tools/atlas.py	atlas puts every open function in exactly ONE lever-labelled group as a partition-asserted queue, where exemplar_miner routed advisory levers off a single-binary census — tools/atlas.py:2
tools/export_pairs.py	STILL-NEEDED	mine gate-verified assembly-to-source pairs into a fine-tuning corpus	tools/export_pairs.py:2 "mine gate-verified (target asm <-> byte-matching C) pairs into a fine-tune corpus"
tools/fix_header_decl.py	SUPERSEDED	tools/conform_decls.py	SETUP row: "Effectively retired: its [SAFE] verdict inspects one caller and is structurally blind to the other ~137 overlays the shared decl reaches" — conform_decls conforms fleet-wide
tools/fragment_check.py	STILL-NEEDED	refuse a draft that swallows a neighbouring symbol inside one function's range	tools/fragment_check.py:2 "refuse drafts that SUBSUME another symbol (the enclosing-function trap)"
tools/frogress_upload.py	STILL-NEEDED	publish progress metrics to a hosted decomp progress service	tools/frogress_upload.py:2 "push docs/progress.json to a frogress instance"
tools/frontier_classify.py	STILL-NEEDED	name the true blocker of every remaining open function, deterministically	tools/frontier_classify.py:2 "classify EVERY remaining open stub by its TRUE BLOCKER, deterministically"
tools/gap_triage.py	STILL-NEEDED	pre-filter agents' knowledge-gap reports against the existing technique document	tools/gap_triage.py:2 "deterministically pre-filter a wave's index_gap reports against the cookbook"
tools/gate_main_parallel.py	STILL-NEEDED	discover an executable slate's bankable drafts concurrently, then bank once serially	tools/gate_main_parallel.py:2 "discover main's bankable drafts CONCURRENTLY, bank them ONCE, serially"
