tools/ab_score.py	re-score both arms of an experiment with the standalone matcher as ground truth
tools/agent_drafts_restore.py	rebuild an agent's final draft by replaying its transcript writes
tools/agent_reports.py	save each subagent's full final report to one file per target
tools/agent_verdicts.py	pull the final structured verdict out of each subagent transcript
tools/alloc_table.py	list each pseudo-register's refs, live length and allocation priority from compiler dumps
tools/api_agent.py	give an external chat model the same multi-turn tool harness an agent gets
tools/api_draft.py	draft one function against any chat-completions endpoint, provider-agnostic
tools/api_rate.py	measure a drafting provider's real request rate and rate-limit attribution
tools/aprop_autodraft.py	draft a family member mechanically from a seed body and symbol rebase
tools/aprop_symfix.py	rebase a remapped draft's stale seed symbols onto the target's own
tools/asm_verbatim.py	emit a function's target assembly as an inline-assembly body
tools/atlas.py	partition every open function into exactly one lever-labelled work group
tools/atlas_features.py	extract one deterministic feature record per function across every registered binary
tools/audit_binaries.py	assert every consumer knows about each newly onboarded binary
tools/audit_digest.py	recompute headline metrics and fail if the committed digest disagrees
tools/audit_frontier.py	check that the independent what-remains views agree with the corpus oracle
tools/audit_header_sigs.py	find shared-header declarations that contradict a function's banked definition
tools/audit_public.py	gate a first push: prove no derived bytes among tracked files
tools/audit_text_sources.py	assert every tracked source is plain text so text searches never skip it
tools/auto_driver.py	loop a stub worklist through scaffold, draft and gate without any model
tools/auto_status.sh	print an unattended run's heartbeats and recent progress for a remote check-in
tools/auto_stop.sh	request a safe exit of an unattended run through a stop sentinel
tools/auto_supervisor.sh	keep an unattended driver alive across crashes until a clean exit
tools/autopsy.py	recompile every open draft and classify its failure into a residual corpus
tools/backlog.py	keep a ranked ledger of every close-but-not-matching attempt
tools/bank_exemplar.py	bank one cracked exemplar through the carve, splice and staged-recovery ladder
tools/bfm_extract/__init__.py	expose a disc extraction pipeline's stages as one package
tools/bfm_extract/cd_archive.py	read a bespoke container's table of contents to locate its files
tools/bfm_extract/crosscheck.py	cross-validate an extraction against an independent third-party tool
tools/bfm_extract/extract.py	walk the whole medium and extract every file deterministically
tools/bfm_extract/extract_exe.py	extract the console executable and hard-validate its name, size and header
tools/bfm_extract/extract_proto_exe.py	extract a prototype build's executable, allowing for its known deviations
tools/bfm_extract/iso9660.py	walk a raw data track's filesystem and extract files by name
tools/bfm_extract/lzss.py	decode a bespoke compression format, cross-checked against its own length field
tools/bfm_extract/manifest.py	build and verify a deterministic sorted checksum manifest of an extraction tree
tools/bfm_extract/pac.py	parse a bespoke archive-chain header format
tools/bfm_extract/test_lzss.py	unit-test a bespoke compression decoder against known cases
tools/bisect_slate.py	isolate the byte-wrong drafts in a batch, with a null control first
tools/blast_radius.py	measure a change's write set and name the verification it actually requires
tools/blocker_probe.py	explain with two oracles why a byte-correct draft fails the whole-binary gate
tools/bootstrap.sh	set up a fresh clone idempotently: packages, environments, pinned tools
tools/build_engine_types.py	extract inline-defined types and typedefs from a source file into a shared header
tools/build_fuel_manifest.py	unify live stubs into one ranked, class-tagged, cache-annotated target pool
tools/build_wave.py	build the next drafting wave from a card pool by fleet leverage
tools/build_wave_args.py	emit drafting-workflow arguments for a wave from a target manifest
tools/build_wave_atlas.py	build a wave from the frontier atlas, optimized for gate throughput
tools/bulk_harvest.py	mass-draft small stubs with a served model and gate them in parallel
